http://africaopendata.org/,,CKAN,IRL
http://opendata.aragon.es/,http://opendata.aragon.es/catalogo/,CKAN,ESP
http://annuario.comune.fi.it,http://annuario.comune.fi.it/,CKAN,ITA
http://bermuda.io/,,CKAN,IOT
http://beta.avoindata.fi/,https://beta.avoindata.fi/data/fi/,CKAN,FIN
http://catalogue.datalocale.fr,http://catalogue.datalocale.fr/,CKAN,FRA
http://ckan.gsi.go.jp/,,CKAN,JPN
http://dados.gov.br,http://dados.gov.br/,CKAN,BRA
http://dados.recife.pe.gov.br/,,CKAN,BRA
http://dados.rs.gov.br/,,CKAN,BRA
http://dadosabertos.senado.gov.br/,,CKAN,BRA
http://dartportal.leeds.ac.uk/,,CKAN,GBR
https://data.bris.ac.uk/data/,,CKAN,GBR
http://data.buenosaires.gob.ar/,,CKAN,ARG
http://data.cityofsantacruz.com/,,CKAN,USA
http://data.edostate.gov.ng/,,CKAN,NGA
http://data.glasgow.gov.uk/,,CKAN,GBR
http://data.gov.au/,,CKAN,AUS
http://data.gov.ie/,,CKAN,IRL
http://data.gov.ro/,,CKAN,ROU
http://data.gov.sk,http://data.gov.sk/,CKAN,SVK
http://data.gov.uk,http://data.gov.uk/,CKAN,GBR
http://data.gov/,http://catalog.data.gov/,CKAN,USA
http://data.graz.gv.at/,http://ckan.data.graz.gv.at/,CKAN,AUT
http://data.grcity.us,http://data.grcity.us/,CKAN,USA
http://data.gv.at,http://www.data.gv.at/katalog/,CKAN,AUT
https://data.hdx.rwlabs.org/,,CKAN,LUX
http://data.kk.dk/,,CKAN,DNK
http://data.ktn.gv.at/,http://ckan.data.ktn.gv.at/,CKAN,AUT
http://data.lexingtonky.gov/,,CKAN,USA
http://data.linz.gv.at/,http://ckan.data.linz.gv.at/,CKAN,AUT
http://data.london.gov.uk/,,CKAN,GBR
http://data.nhm.ac.uk/,,CKAN,GBR
http://data.nsw.gov.au/,http://data.nsw.gov.au/data/,CKAN,AUS
http://data.ohouston.org/,,CKAN,USA
http://data.opencolorado.org/,,CKAN,USA
http://data.openpolice.ru,http://data.openpolice.ru/,CKAN,RUS
http://data.openva.com/,,CKAN,USA
http://data.ottawa.ca/,,CKAN,CAN
http://data.qld.gov.au/,https://data.qld.gov.au/,CKAN,AUS
http://data.rio.rj.gov.br/,,CKAN,BRA
http://data.salzburgerland.com,http://data.salzburgerland.com/,CKAN,AUT
http://data.surrey.ca/,,CKAN,CAN
http://data.tainan.gov.tw/,,CKAN,TWN
http://data.ug/,http://catalog.data.ug/,CKAN,UGA
http://data.upf.edu/en/main,http://data.upf.edu/en/,CKAN,ESP
http://data.wu.ac.at/,,CKAN,AUT
http://dataforjapan.org,http://dataforjapan.org/,CKAN,JPN
http://datagm.org.uk,http://datagm.org.uk/,CKAN,USA
http://datahub.io/,,CKAN,IOT
http://datameti.go.jp/data/,,CKAN,JPN
http://datamx.io/,,CKAN,IOT
http://daten.rlp.de/,http://www.daten.rlp.de/,CKAN,DEU
http://dati.toscana.it/,,CKAN,ITA
http://dati.trentino.it/,,CKAN,ITA
http://dati.veneto.it/,,CKAN,ITA
http://datos.alcobendas.org/,,CKAN,IRL
http://datos.codeandomexico.org/,,CKAN,USA
http://datos.gob.mx/,http://catalogo.datos.gob.mx/,CKAN,MEX
http://datosabiertos.ec,http://datosabiertos.ec/,CKAN,ECU
http://datosabiertos.malaga.eu/,,CKAN,ESP
http://datos.argentina.gob.ar/,,CKAN,ARG
http://datospublicos.org,http://datospublicos.org/,CKAN,USA
http://donnees.ville.montreal.qc.ca/,,CKAN,CAN
http://donnees.ville.sherbrooke.qc.ca,http://donnees.ville.sherbrooke.qc.ca/,CKAN,CAN
http://drdsi.jrc.ec.europa.eu/,,CKAN,
http://geothermaldata.org/,http://search.geothermaldata.org/,CKAN,USA
http://gisdata.mn.gov,http://gisdata.mn.gov/,CKAN,USA
http://govdata.de,https://www.govdata.de/ckan/,CKAN,DEU
http://hubofdata.ru/,,CKAN,RUS
http://iatiregistry.org,http://iatiregistry.org/,CKAN,USA
http://leedsdatamill.org/,,CKAN,GBR
http://linkeddatacatalog.dws.informatik.uni-mannheim.de/,,CKAN,DEU
http://offenedaten.de/,https://offenedaten.de/,CKAN,DEU
http://open-data.europa.eu/,http://open-data.europa.eu/en/data/,CKAN,LUX
http://ckan.okfn.gr/,,CKAN,GRC
http://opencolorado.org/,http://data.opencolorado.org/,CKAN,USA
http://opendata.aberdeencity.gov.uk/,,CKAN,GBR
http://opendata.admin.ch/,,CKAN,CHE
http://opendata.aragon.es/,http://opendata.aragon.es/catalogo/,CKAN,ESP
http://opendata.awt.be/,,CKAN,BEL
http://opendata.ayto-caceres.es/,,CKAN,ESP
http://opendata.caceres.es/,,CKAN,ESP
http://opendata.comune.bari.it/,,CKAN,ITA
http://opendata.hu/,,CKAN,HUN
http://opendata.lisra.jp,http://opendata.lisra.jp/,CKAN,JPN
http://opendata.opennorth.se/,,CKAN,SWE
http://opendata.provincia.lucca.it/,http://opendata.provincia.lucca.it/SpodCkanApi/,CKAN,ITA
http://opendatacanarias.es/,http://opendatacanarias.es/datos/,CKAN,ESP
http://opendatadc.org/,,CKAN,USA
http://opendatagortynia.gr/,,CKAN,GRC
http://opendatahub.gr/,,CKAN,GRC
http://opendatareno.org/,,CKAN,USA
http://opengov.es/,,CKAN,ESP
http://opingogn.is/,,CKAN,ISL
http://oppnadata.se,http://oppnadata.se/,CKAN,SWE
http://portal.openbelgium.be,http://portal.openbelgium.be/,CKAN,BEL
http://publicdata.eu,http://publicdata.eu/,CKAN,USA
